EDITION;ID;PERSON;TITLE;INTERNATIONAL TITLES;DIRECTOR/S;MAIN PRODUCTION COUNTRY;CO-PRODUCTION COUNTRY/IES;SECTION;PRIZE;NOTE
2022;1288800;;TENGO SUEÑOS ELÉCTRICOS ;;Valentina Maurel ;Belgium;France, Costa Rica;Concorso internazionale;Pardo for Best Direction of the City and Region of Locarno;
2022;1288800;Daniela Marín Navarro ;TENGO SUEÑOS ELÉCTRICOS ;;Valentina Maurel ;Belgium;France, Costa Rica;Concorso internazionale;Pardo for Best Actress;
2022;1288800;Reinaldo Amien Gutiérrez ;TENGO SUEÑOS ELÉCTRICOS ;;Valentina Maurel ;Belgium;France, Costa Rica;Concorso internazionale;Pardo for Best Actor;
2022;1297352;;SVETLONOC ;Nightsiren;Tereza Nvotová ;Slovakia;Czech Republic;Concorso Cineasti del presente;Pardo d’oro Concorso Cineasti del presente;
2022;1294456;;SIGURNO MJESTO ;Safe Place;Juraj Lerotić ;Croatia;;Concorso Cineasti del presente;Best Emerging Director Award of the City and Region of Locarno;
2022;1295636;;YAK TAM KATIA? ;How Is Katia?;Christina Tynkevych ;Ukraine;;Concorso Cineasti del presente;Special Jury Prize Ciné+;
2022;1295636;Anastasia Karpenko ;YAK TAM KATIA? ;How Is Katia?;Christina Tynkevych ;Ukraine;;Concorso Cineasti del presente;Pardo for Best Actress;
2022;1294456;Goran Marković ;SIGURNO MJESTO ;Safe Place;Juraj Lerotić ;Croatia;;Concorso Cineasti del presente;Pardo for Best Actor;
2022;1295693;;DEN SISTE VÅREN ;Sister, What Grows Where Land Is Sick?;Franciska Eliassen ;Norway;;Concorso Cineasti del presente;Special mention;
2022;1294456;;SIGURNO MJESTO ;Safe Place;Juraj Lerotić ;Croatia;;Concorso Cineasti del presente;Swatch First Feature Award;
;1289413;;LOVE DOG;;Bianca Lucas;Poland;Mexico, USA;Concorso Cineasti del presente;Special mention ;First Feature
2022;1288808;;DE NOCHE LOS GATOS SON PARDOS;;Valentin Merz;Switzerland;;Concorso internazionale;Special mention (First Feature);
2022;1295987;;MATTER OUT OF PLACE;;Nikolaus Geyrhalter ;Austria;;Concorso internazionale;Green Pardo WWF ;
2022;1290088;;É NOITE NA AMÉRICA ;It Is Night in America;Ana Vaz ;Italy;France, Brazil;Concorso Cineasti del presente;Special mention ;Green Pardo WWF
2022;1288805;;BALIQLARA XÜTBƏ ;Sermon to the Fish;Hilal Baydarov ;Azerbaijan;Mexico, Switzerland, Türkiye;Concorso internazionale;Special mention ;Green Pardo WWF
2022;1292917;;BIG BANG ;;Carlos Segundo;France;Brazil;"Pardi di domani
Concorso Corti d'autore";Pardino d’oro Swiss Life for the Best Auteur Short;
2022;1296545;;SOBERANE ;Sovereign;Wara;Cuba;;"Pardi di domani
Concorso internazionale";Pardino d’oro SRG SSR for the Best International Short Film;
2022;1293181;;BUURMAN ABDI ;NEIGHBOUR ABDI;Douwe Dijkstra;Netherlands;;"Pardi di domani
Concorso internazionale";Pardino d’argento SRG SSR for the International Competition;
2022;1293346;;HARDLY WORKING ;;Total Refusal;Austria;;"Pardi di domani
Concorso internazionale";Pardi di domani Best Direction Prize – BONALUMI Engineering;
2022;1293147;;MULIKA;;Maisha Maene;Democratic Repuclic of Congo;;"Pardi di domani
Concorso internazionale";Medien Patent Verwaltung AG Award;
2022;1293326;;MADAR TAMAME ROOZ DOA MIKHANAD;Mother Prays All Day Long;Hoda Taherin;Germany;;"Pardi di domani
Concorso internazionale";Special mention;
2022;1293181;;BUURMAN ABDI ;Neighbour Abdi;Douwe Dijkstra;Netherlands;;"Pardi di domani
Concorso internazionale";Locarno Short Film Candidate for the European Film Awards;
2022;1293451;;EURIDICE, EURIDICE ;;Lora Mure-Ravaud ;Switzerland;France;"Pardi di domani
Concorso nazionale";Pardino d’oro Swiss Life for the Best Swiss Short Film;
2022;1292995;;DER MOLCHKONGRESS;The Newt Congress;Matthias Sahli, Immanuel Esser;Switzerland;;"Pardi di domani
Concorso nazionale";Pardino d’argento Swiss Life for the National Competition;
2022;1294547;;HEARTBEAT;;Michèle Flury;Switzerland;;"Pardi di domani
Concorso nazionale";Best Swiss Newcomer Award;
2022;1301237;;ANNIE COLÈRE ;;Blandine Lenoir;France;;Piazza Grande;Variety Piazza Grande Award;
